,country,disease,year,week_of_the_year,commodity,metric_tons
0,China,African swine fever,2019,36,"Animal Bone,blood,coral,shell,spong",973
1,China,African swine fever,2019,36,"Animal Feed, Hay",5057
2,China,African swine fever,2019,36,Anise Seed,68
3,China,African swine fever,2019,36,Asparagus,170
4,China,African swine fever,2019,36,Bananas,479
5,China,African swine fever,2019,36,"Beans; Tonka, Vanilla",0
6,China,African swine fever,2019,36,"Beer, Ale",2373
7,China,African swine fever,2019,36,Berries,352
8,China,African swine fever,2019,36,Beverages,11938
9,China,African swine fever,2019,36,"Bitters, Liquor",2707
10,China,African swine fever,2019,36,"Bourbon, Scotch, Whiskey",226
11,China,African swine fever,2019,36,"Bristles; Natural,pvc,crude,process",9
12,China,African swine fever,2019,36,Bulb & Seeds,299
13,China,African swine fever,2019,36,Bulk Grains,321
14,China,African swine fever,2019,36,Candy And Confections,7478
15,China,African swine fever,2019,36,Canned Fish,2723
16,China,African swine fever,2019,36,Canned Fruit,21727
17,China,African swine fever,2019,36,"Canned Ham, Pork Shoulders",10
18,China,African swine fever,2019,36,Canned Meat,37
19,China,African swine fever,2019,36,Canned Pineapples,2148
20,China,African swine fever,2019,36,Canned Vegetables,6620
21,China,African swine fever,2019,36,"Carrageenin, Chondrus, Viscarin",43
22,China,African swine fever,2019,36,"Cassava Flour, Starch, Tapioca",95
23,China,African swine fever,2019,36,"Chanterelles, Mushrooms",3644
24,China,African swine fever,2019,36,Cheese,159
25,China,African swine fever,2019,36,Cherries,40
26,China,African swine fever,2019,36,Chewing Gum,156
27,China,African swine fever,2019,36,Chicory Roots,23
28,China,African swine fever,2019,36,"Chilles, Chili Pepper, Hot Peppers",27
29,China,African swine fever,2019,36,Cigarettes,405
30,China,African swine fever,2019,36,Citrus Fruit Juices,3836
31,China,African swine fever,2019,36,"Cocoa; Beans,liquor,ovaltine",23
32,China,African swine fever,2019,36,"Cocoa; Butter,cake,powder,russett",1046
33,China,African swine fever,2019,36,"Coconut, Coconut Milk",344
34,China,African swine fever,2019,36,Coconut Oil,35
35,China,African swine fever,2019,36,Cod Liver Oil,8
36,China,African swine fever,2019,36,Coffee,750
37,China,African swine fever,2019,36,Copra,12
38,China,African swine fever,2019,36,"Crawfish, Lobster",4093
39,China,African swine fever,2019,36,"Crispbread,flatbread,ryethin,rush",77
40,China,African swine fever,2019,36,Dairy Products,967
41,China,African swine fever,2019,36,"Dextrose, Glucose (When Sugar)",41
